,Data.Type,Unit.humid,Value.humid
1,rel_hum,p,163
2,rel_hum,p,163
3,rel_hum,p,163
4,rel_hum,p,163
5,rel_hum,p,163
6,rel_hum,p,163
7,rel_hum,p,163
8,rel_hum,p,70
9,rel_hum,p,163
10,rel_hum,p,163
11,rel_hum,p,163
12,rel_hum,p,163
13,rel_hum,p,163
14,rel_hum,p,163
15,rel_hum,p,163
16,rel_hum,p,163
17,rel_hum,p,163
18,rel_hum,p,163
19,rel_hum,p,163
20,rel_hum,p,163
21,rel_hum,p,163
22,rel_hum,p,163
23,rel_hum,p,163
24,rel_hum,p,163
25,rel_hum,p,163
26,rel_hum,p,163
27,rel_hum,p,163
28,rel_hum,p,163
29,rel_hum,p,163
30,rel_hum,p,163
31,rel_hum,p,163
32,rel_hum,p,175.8000031
33,rel_hum,p,163
34,rel_hum,p,163
35,rel_hum,p,163
36,rel_hum,p,163
37,rel_hum,p,163
38,rel_hum,p,163
39,rel_hum,p,163
40,rel_hum,p,163
41,rel_hum,p,163
42,rel_hum,p,163
43,rel_hum,p,163
44,rel_hum,p,163
45,rel_hum,p,163
46,rel_hum,p,163
47,rel_hum,p,163
48,rel_hum,p,163
49,rel_hum,p,163
50,rel_hum,p,163
51,rel_hum,p,163
52,rel_hum,p,163
53,rel_hum,p,37
54,rel_hum,p,36
55,rel_hum,p,36
56,rel_hum,p,36
57,rel_hum,p,36
58,rel_hum,p,38
59,rel_hum,p,38
60,rel_hum,p,37
61,rel_hum,p,38
62,rel_hum,p,38
63,rel_hum,p,37
64,rel_hum,p,36
65,rel_hum,p,36
66,rel_hum,p,36
67,rel_hum,p,36
68,rel_hum,p,38
69,rel_hum,p,37
70,rel_hum,p,37
71,rel_hum,p,38
72,rel_hum,p,36
73,rel_hum,p,41
74,rel_hum,p,41
75,rel_hum,p,41
76,rel_hum,p,36
77,rel_hum,p,37
78,rel_hum,p,38
79,rel_hum,p,37
80,rel_hum,p,36
81,rel_hum,p,38
82,rel_hum,p,38
83,rel_hum,p,38
84,rel_hum,p,36
85,rel_hum,p,36
86,rel_hum,p,37
87,rel_hum,p,36
88,rel_hum,p,38
89,rel_hum,p,36
90,rel_hum,p,36
91,rel_hum,p,36
92,rel_hum,p,36
93,rel_hum,p,35
94,rel_hum,p,36
95,rel_hum,p,46
96,rel_hum,p,39
97,rel_hum,p,42
98,rel_hum,p,40
99,rel_hum,p,36
100,rel_hum,p,36
101,rel_hum,p,37
102,rel_hum,p,36
103,rel_hum,p,37
104,rel_hum,p,36
105,rel_hum,p,37
106,rel_hum,p,37
107,rel_hum,p,37
108,rel_hum,p,37
109,rel_hum,p,36
110,rel_hum,p,36
111,rel_hum,p,36
112,rel_hum,p,36
113,rel_hum,p,36
114,rel_hum,p,37
115,rel_hum,p,36
116,rel_hum,p,36
117,rel_hum,p,36
118,rel_hum,p,36
119,rel_hum,p,36
120,rel_hum,p,36
121,rel_hum,p,36
122,rel_hum,p,37
123,rel_hum,p,36
124,rel_hum,p,36
125,rel_hum,p,36
126,rel_hum,p,36
127,rel_hum,p,36
128,rel_hum,p,36
129,rel_hum,p,37
130,rel_hum,p,36
131,rel_hum,p,36
132,rel_hum,p,36
133,rel_hum,p,36
134,rel_hum,p,36
135,rel_hum,p,37
136,rel_hum,p,37
137,rel_hum,p,37
138,rel_hum,p,36
139,rel_hum,p,36
140,rel_hum,p,36
141,rel_hum,p,36
142,rel_hum,p,36
143,rel_hum,p,37
144,rel_hum,p,36
145,rel_hum,p,36
146,rel_hum,p,36
147,rel_hum,p,36
148,rel_hum,p,36
149,rel_hum,p,36
150,rel_hum,p,38
151,rel_hum,p,37
152,rel_hum,p,36
153,rel_hum,p,36
154,rel_hum,p,36
155,rel_hum,p,36
156,rel_hum,p,38
157,rel_hum,p,38
158,rel_hum,p,38
159,rel_hum,p,38
160,rel_hum,p,36
161,rel_hum,p,37
162,rel_hum,p,36
163,rel_hum,p,36
164,rel_hum,p,37
165,rel_hum,p,37
166,rel_hum,p,37
167,rel_hum,p,37
168,rel_hum,p,37
169,rel_hum,p,37
170,rel_hum,p,37
171,rel_hum,p,37
172,rel_hum,p,37
173,rel_hum,p,37
174,rel_hum,p,37
175,rel_hum,p,37
176,rel_hum,p,37
177,rel_hum,p,37
178,rel_hum,p,37
179,rel_hum,p,37
180,rel_hum,p,36
181,rel_hum,p,37
182,rel_hum,p,37
183,rel_hum,p,36
184,rel_hum,p,37
185,rel_hum,p,36
186,rel_hum,p,38
187,rel_hum,p,37
188,rel_hum,p,37
189,rel_hum,p,37
190,rel_hum,p,37
191,rel_hum,p,37
192,rel_hum,p,36
193,rel_hum,p,36
194,rel_hum,p,36
195,rel_hum,p,36
196,rel_hum,p,35
197,rel_hum,p,35
198,rel_hum,p,35
199,rel_hum,p,36
200,rel_hum,p,36
201,rel_hum,p,36
202,rel_hum,p,36
203,rel_hum,p,36
204,rel_hum,p,36
205,rel_hum,p,36
206,rel_hum,p,36
207,rel_hum,p,36
208,rel_hum,p,36
209,rel_hum,p,36
210,rel_hum,p,37
211,rel_hum,p,37
212,rel_hum,p,37
213,rel_hum,p,37
214,rel_hum,p,37
215,rel_hum,p,37
216,rel_hum,p,37
217,rel_hum,p,37
218,rel_hum,p,37
219,rel_hum,p,37
220,rel_hum,p,37
221,rel_hum,p,37
222,rel_hum,p,37
223,rel_hum,p,37
224,rel_hum,p,36
225,rel_hum,p,37
226,rel_hum,p,39
227,rel_hum,p,37
228,rel_hum,p,37
229,rel_hum,p,37
230,rel_hum,p,37
231,rel_hum,p,37
232,rel_hum,p,37
233,rel_hum,p,37
234,rel_hum,p,37
235,rel_hum,p,37
236,rel_hum,p,37
237,rel_hum,p,37
238,rel_hum,p,38
239,rel_hum,p,36
240,rel_hum,p,37
241,rel_hum,p,56
242,rel_hum,p,75
243,rel_hum,p,63
244,rel_hum,p,63
245,rel_hum,p,54
246,rel_hum,p,47
247,rel_hum,p,37
248,rel_hum,p,36
249,rel_hum,p,36
250,rel_hum,p,45
251,rel_hum,p,52
252,rel_hum,p,44
253,rel_hum,p,38
254,rel_hum,p,38
255,rel_hum,p,38
256,rel_hum,p,38
257,rel_hum,p,38
258,rel_hum,p,38
259,rel_hum,p,38
260,rel_hum,p,38
261,rel_hum,p,38
262,rel_hum,p,38
263,rel_hum,p,37
264,rel_hum,p,39
265,rel_hum,p,37
266,rel_hum,p,38
267,rel_hum,p,38
268,rel_hum,p,38
269,rel_hum,p,38
270,rel_hum,p,38
271,rel_hum,p,38
272,rel_hum,p,38
273,rel_hum,p,40
274,rel_hum,p,41
275,rel_hum,p,40
276,rel_hum,p,42
277,rel_hum,p,39
278,rel_hum,p,38
279,rel_hum,p,38
280,rel_hum,p,38
281,rel_hum,p,38
282,rel_hum,p,38
283,rel_hum,p,38
284,rel_hum,p,38
285,rel_hum,p,39
286,rel_hum,p,38
287,rel_hum,p,38
288,rel_hum,p,39
289,rel_hum,p,63
290,rel_hum,p,39
291,rel_hum,p,39
292,rel_hum,p,39
293,rel_hum,p,38
294,rel_hum,p,37
295,rel_hum,p,36
296,rel_hum,p,95
297,rel_hum,p,95
298,rel_hum,p,38
299,rel_hum,p,38
300,rel_hum,p,38
301,rel_hum,p,38
302,rel_hum,p,38
303,rel_hum,p,38
304,rel_hum,p,38
305,rel_hum,p,38
306,rel_hum,p,38
307,rel_hum,p,41
308,rel_hum,p,40
309,rel_hum,p,40
310,rel_hum,p,41
311,rel_hum,p,41
312,rel_hum,p,40
313,rel_hum,p,40
314,rel_hum,p,41
315,rel_hum,p,41
316,rel_hum,p,41
317,rel_hum,p,41
318,rel_hum,p,41
319,rel_hum,p,41
320,rel_hum,p,41
321,rel_hum,p,43
322,rel_hum,p,43
323,rel_hum,p,43
324,rel_hum,p,43
325,rel_hum,p,43
326,rel_hum,p,43
327,rel_hum,p,43
328,rel_hum,p,43
329,rel_hum,p,43
330,rel_hum,p,43
331,rel_hum,p,43
332,rel_hum,p,43
333,rel_hum,p,43
334,rel_hum,p,43
335,rel_hum,p,43
336,rel_hum,p,43
337,rel_hum,p,43
338,rel_hum,p,43
339,rel_hum,p,43
340,rel_hum,p,43
341,rel_hum,p,43
342,rel_hum,p,43
343,rel_hum,p,43
344,rel_hum,p,43
345,rel_hum,p,43
346,rel_hum,p,43
347,rel_hum,p,43
348,rel_hum,p,43
349,rel_hum,p,43
350,rel_hum,p,43
351,rel_hum,p,44
352,rel_hum,p,44
353,rel_hum,p,43
354,rel_hum,p,43
355,rel_hum,p,44
356,rel_hum,p,44
357,rel_hum,p,44
358,rel_hum,p,44
359,rel_hum,p,44
360,rel_hum,p,44
361,rel_hum,p,44
362,rel_hum,p,44
363,rel_hum,p,44
364,rel_hum,p,44
365,rel_hum,p,44
366,rel_hum,p,44
367,rel_hum,p,44
368,rel_hum,p,44
369,rel_hum,p,44
370,rel_hum,p,44
371,rel_hum,p,44
372,rel_hum,p,44
373,rel_hum,p,44
374,rel_hum,p,44
375,rel_hum,p,44
376,rel_hum,p,44
377,rel_hum,p,44
378,rel_hum,p,44
379,rel_hum,p,44
380,rel_hum,p,44
381,rel_hum,p,44
382,rel_hum,p,44
383,rel_hum,p,44
384,rel_hum,p,44
385,rel_hum,p,44
386,rel_hum,p,44
387,rel_hum,p,44
388,rel_hum,p,44
389,rel_hum,p,44
390,rel_hum,p,44
391,rel_hum,p,44
392,rel_hum,p,44
393,rel_hum,p,44
394,rel_hum,p,44
395,rel_hum,p,44
396,rel_hum,p,44
397,rel_hum,p,44
398,rel_hum,p,44
399,rel_hum,p,44
400,rel_hum,p,44
401,rel_hum,p,44
402,rel_hum,p,44
403,rel_hum,p,44
404,rel_hum,p,44
405,rel_hum,p,44
406,rel_hum,p,44
407,rel_hum,p,44
408,rel_hum,p,44
409,rel_hum,p,44
410,rel_hum,p,44
411,rel_hum,p,44
412,rel_hum,p,44
413,rel_hum,p,44
414,rel_hum,p,44
415,rel_hum,p,44
416,rel_hum,p,44
417,rel_hum,p,44
418,rel_hum,p,44
419,rel_hum,p,44
420,rel_hum,p,44
421,rel_hum,p,44
422,rel_hum,p,44
423,rel_hum,p,44
424,rel_hum,p,44
425,rel_hum,p,44
426,rel_hum,p,44
427,rel_hum,p,44
428,rel_hum,p,44
429,rel_hum,p,44
430,rel_hum,p,44
431,rel_hum,p,44
432,rel_hum,p,44
433,rel_hum,p,44
434,rel_hum,p,44
435,rel_hum,p,44
436,rel_hum,p,44
